Income,Recency,MntWines,NumWebPurchases,MntMeatProducts,Kidhome,Teenhome,Age
16813.0,49,4,2,11,0,0,75
64191.0,30,420,5,186,0,1,62
71969.0,59,1000,3,76,0,1,54
29187.0,43,26,1,6,1,0,57
4428.0,0,16,25,12,0,1,56
89891.0,17,412,11,132,0,0,34
82014.0,48,980,3,265,0,0,64
48794.0,97,25,1,11,1,1,72
77583.0,93,372,4,384,0,0,47
33564.0,51,61,1,3,0,1,59
38285.0,96,2,0,5,2,1,66
78825.0,35,483,5,114,0,0,61
36065.0,54,18,3,34,1,1,57
15253.0,13,1,1,3,1,0,33
57183.0,51,464,9,64,1,1,59
48789.0,94,351,6,156,0,0,33
37774.0,28,173,7,107,2,0,48
81205.0,43,724,5,929,0,0,55
81320.0,61,183,4,493,0,0,67
78901.0,99,321,9,309,0,1,52
94642.0,35,879,5,797,0,0,74
52614.0,63,789,2,142,0,1,50
22701.0,2,2,1,9,1,0,48
28427.0,67,18,2,19,1,0,42
33279.0,29,10,0,3,0,0,59
57867.0,48,344,7,178,1,0,47
48767.0,79,28,2,21,1,2,75
41769.0,31,302,8,131,0,1,70
17003.0,37,2,2,12,1,0,50
65526.0,22,397,4,69,0,1,61
29543.0,47,17,3,18,2,0,57
67680.0,8,546,7,48,0,1,74
55282.0,9,125,3,73,1,0,55
,25,25,3,43,1,0,52
8940.0,25,1,3,3,1,0,39
65352.0,43,284,4,84,0,1,51
57236.0,22,105,2,9,1,1,60
51948.0,51,82,5,54,0,1,50
60839.0,72,600,2,128,1,1,46
86836.0,7,179,6,273,0,0,50
40233.0,84,80,2,46,0,1,50
22682.0,51,10,2,29,1,0,52
28427.0,67,18,2,19,1,0,42
54591.0,63,376,6,94,0,1,76
20587.0,39,2,1,6,1,0,55
45203.0,4,35,3,67,2,0,43
47682.0,80,162,4,83,0,1,50
92556.0,32,493,3,352,0,0,65
63943.0,50,423,6,368,0,1,69
18890.0,5,6,0,1,0,0,41
81051.0,43,1142,5,249,0,0,60
46998.0,55,172,5,86,0,1,69
71853.0,29,358,2,413,0,0,43
38513.0,20,172,6,115,1,0,43
49912.0,5,520,10,223,0,1,76
44911.0,11,159,4,22,0,1,66
72354.0,67,315,2,473,0,0,32
56181.0,6,121,4,69,0,1,63
65324.0,0,384,6,102,0,1,71
25293.0,51,15,1,11,1,0,56
75433.0,28,800,2,297,1,0,36
47570.0,3,67,2,20,1,1,76
69084.0,43,1181,7,199,1,0,55
39684.0,41,19,2,35,1,0,41
86718.0,20,344,5,482,0,0,71
79689.0,65,311,4,640,0,0,49
64100.0,93,509,8,27,0,1,61
54058.0,56,198,4,252,0,1,49
55954.0,63,447,8,28,0,1,57
68117.0,80,618,11,215,0,1,78
60432.0,61,365,7,15,0,1,52
51141.0,96,144,3,7,0,0,85
23228.0,91,53,3,49,1,0,41
37334.0,44,26,3,16,1,1,67
63342.0,48,918,8,118,0,1,64
55357.0,66,374,6,116,2,0,40
31859.0,77,3,1,3,1,0,49
71853.0,29,358,2,413,0,0,43
85696.0,88,714,4,395,0,0,63
81843.0,13,779,5,537,0,0,65
37040.0,41,86,4,73,0,0,43
15072.0,96,8,3,15,2,0,45
19986.0,74,3,0,5,1,0,40
57906.0,29,243,4,119,0,1,52
81741.0,75,249,6,940,0,0,45
38620.0,56,112,2,44,0,0,62
94384.0,62,1111,5,790,0,0,72
30538.0,27,284,9,52,1,0,54
54450.0,0,454,9,171,1,1,69
69267.0,31,778,3,499,0,0,72
35701.0,36,21,1,9,0,0,66
13672.0,86,6,1,9,1,1,65
85606.0,89,717,6,864,0,1,49
70337.0,75,187,2,149,0,0,46
38829.0,86,76,3,7,0,1,66
43462.0,50,90,4,97,1,1,73
61314.0,1,378,5,189,0,1,57
60474.0,25,265,10,303,0,1,46
62710.0,53,441,4,83,0,1,53
50300.0,52,143,2,60,0,1,73
26326.0,12,1,0,5,0,0,49
40548.0,31,110,2,5,0,1,55
37716.0,4,97,4,41,0,1,72
46757.0,71,777,4,163,0,1,62
24570.0,97,28,4,62,1,0,41
52845.0,7,384,8,292,1,0,52
46423.0,6,68,2,16,1,1,53
67716.0,8,530,7,217,0,1,65
96547.0,4,448,7,125,0,0,45
80950.0,44,525,6,112,0,0,64
64497.0,17,1170,11,320,0,1,71
46098.0,86,57,3,27,1,1,50
27238.0,39,37,3,17,1,1,63
58025.0,81,270,3,88,0,1,46
68092.0,7,852,2,207,0,0,47
71466.0,86,412,4,546,0,0,51
43815.0,53,14,2,29,1,0,43
70440.0,49,690,5,499,0,0,47
28587.0,42,22,2,17,1,0,47
73807.0,88,366,5,156,0,1,47
43057.0,30,213,4,44,0,1,50
7500.0,98,5,2,17,1,0,40
14906.0,86,7,2,14,0,0,39
37235.0,68,20,1,9,1,0,41
72460.0,56,377,3,540,0,0,56
43783.0,22,327,7,125,1,0,47
38443.0,58,32,1,5,1,1,57
53858.0,50,407,4,221,0,1,49
22507.0,67,68,10,226,0,0,71
44155.0,24,22,1,9,1,1,68
85072.0,94,494,3,391,0,0,48
82170.0,13,1023,5,651,0,0,47
7500.0,94,0,0,3,0,0,38
9255.0,91,9,1,7,1,0,36
38576.0,2,34,1,7,0,1,52
81246.0,87,398,4,537,0,0,61
41713.0,57,77,3,44,1,1,61
43586.0,26,99,3,11,0,1,45
71322.0,57,753,8,226,0,1,60
39767.0,18,113,7,204,0,0,74
33562.0,33,21,2,12,1,2,62
79941.0,72,123,2,266,0,0,49
41638.0,68,315,5,31,0,1,61
62466.0,13,129,6,259,0,1,55
29672.0,6,9,0,3,1,1,60
38998.0,92,34,2,14,1,1,71
53863.0,4,399,7,30,0,1,70
54984.0,51,173,6,131,0,1,66
26877.0,74,101,3,76,0,0,56
64449.0,70,218,5,282,1,0,36
62905.0,68,166,7,96,0,1,61
67272.0,12,357,6,271,0,1,59
36930.0,50,223,5,31,0,1,71
51012.0,86,102,4,63,0,0,79
58330.0,87,445,6,213,0,1,50
28567.0,57,11,2,22,1,0,43
10979.0,34,8,3,10,0,0,36
22574.0,28,25,2,8,2,1,58
,49,5,1,9,1,1,61
56320.0,11,201,5,172,0,1,58
43140.0,68,134,4,76,0,1,68
80982.0,48,505,11,401,1,1,66
70932.0,57,200,6,100,0,1,53
75032.0,74,952,5,180,0,1,66
27190.0,13,1,1,7,1,0,52
54880.0,57,308,6,137,1,0,47
79146.0,33,245,8,223,1,1,58
34109.0,39,9,0,5,0,1,54
61923.0,94,92,2,18,0,2,64
69759.0,38,452,4,514,0,0,59
,45,7,1,8,1,1,68
40451.0,54,35,1,4,0,2,68
42403.0,18,22,1,11,1,0,54
78028.0,38,158,6,288,0,1,69
59304.0,81,418,7,428,0,1,61
69674.0,46,554,10,215,0,2,57
19485.0,80,6,1,4,2,0,39
10979.0,34,8,3,10,0,0,36
80872.0,60,483,4,567,0,0,74
29298.0,60,6,1,2,1,1,74
13084.0,29,2,1,7,0,0,73
82032.0,54,332,4,377,0,0,77
64474.0,59,381,8,172,0,1,53
26290.0,49,15,2,16,1,1,53
41145.0,20,9,0,3,1,1,75
35246.0,53,36,3,12,1,1,67
98777.0,23,1000,4,711,0,0,65
76081.0,85,292,4,415,0,0,63
50183.0,47,97,3,84,1,1,45
28839.0,86,24,2,7,1,1,69
86610.0,66,446,5,768,0,0,74
70829.0,87,141,4,106,1,1,45
62807.0,83,526,5,135,0,1,65
80427.0,56,1149,11,449,0,1,50
82224.0,83,307,6,360,0,0,61
18227.0,21,1,0,7,1,0,38
34600.0,8,199,5,60,1,1,54
30992.0,83,17,1,14,1,0,49
31535.0,95,15,1,13,1,0,45
70777.0,80,554,5,113,0,1,57
53103.0,70,729,10,133,0,1,71
17117.0,96,12,3,38,1,0,47
48948.0,53,437,7,206,0,0,82
50520.0,25,112,3,6,0,1,67
36145.0,13,56,4,76,1,0,40
34633.0,31,8,1,5,2,1,69
33996.0,46,40,1,15,0,0,36
51148.0,38,235,5,45,1,1,52
58646.0,3,62,2,44,0,1,63
72309.0,64,960,5,883,0,0,49
83917.0,12,514,6,732,0,0,52
47025.0,6,16,1,3,1,1,60
46910.0,36,48,2,14,1,1,61
80124.0,47,483,3,398,0,0,62
54998.0,3,154,4,202,0,1,69
41120.0,80,24,2,23,1,1,57
54603.0,85,145,4,46,1,1,69
65748.0,58,172,2,93,0,1,70
50664.0,64,313,8,104,1,1,66
67445.0,63,757,9,217,0,1,51
70044.0,46,1073,7,250,0,1,71
53312.0,32,241,5,12,0,0,74
57957.0,24,290,4,177,0,1,66
47353.0,93,184,2,19,0,1,65
64587.0,49,66,1,16,1,1,71
47320.0,10,200,5,111,0,1,68
86429.0,10,464,7,873,0,0,64
38593.0,42,51,4,49,1,0,47
72905.0,52,407,3,445,0,0,67
34242.0,25,8,0,4,0,1,66
72228.0,87,631,6,491,0,0,73
73926.0,54,627,6,597,0,0,52
29672.0,6,9,0,3,1,1,60
34421.0,81,3,1,7,1,0,51
26228.0,50,2,1,4,1,0,52
68655.0,95,456,4,832,0,0,37
46734.0,40,110,6,137,0,1,71
42586.0,7,194,4,56,1,1,70
41658.0,30,8,1,12,1,1,50
26091.0,84,15,2,19,1,1,68
54803.0,65,404,6,92,0,1,56
63972.0,93,928,5,254,0,1,61
39356.0,21,15,1,2,1,1,49
85485.0,73,630,6,611,0,0,67
30560.0,6,9,1,5,1,0,49
77610.0,70,1245,4,332,0,1,73
27450.0,57,37,2,23,0,0,74
31859.0,3,3,1,7,1,0,45
48699.0,90,26,1,10,1,1,75
80685.0,55,241,6,604,0,0,31
59052.0,29,230,7,75,0,1,66
70179.0,10,532,7,168,0,1,49
35924.0,56,8,1,14,1,1,56
59666.0,87,623,3,178,1,1,53
90933.0,90,1020,4,430,0,0,71
30833.0,33,11,1,7,1,1,74
60585.0,17,267,7,309,1,1,54
22979.0,29,16,3,19,1,0,55
77297.0,84,408,5,109,0,0,68
1730.0,65,1,0,3,0,0,54
38452.0,62,56,3,14,1,1,70
59292.0,71,378,3,68,0,1,75
23442.0,71,2,1,6,1,0,38
39453.0,64,46,2,7,1,0,42
39922.0,30,29,3,59,1,0,42
59481.0,47,178,3,85,0,1,50
33444.0,24,8,1,8,1,1,73
82497.0,32,777,2,573,0,0,45
46107.0,78,31,1,27,1,0,36
94871.0,99,169,8,553,0,2,56
70596.0,68,347,3,534,0,0,40
30560.0,6,9,1,5,1,0,49
65104.0,4,738,3,232,0,1,49
25959.0,1,4,1,12,1,1,55
71613.0,26,426,8,127,0,0,60
64176.0,52,1215,8,249,0,1,60
51287.0,10,117,4,22,1,1,57
36026.0,34,20,2,10,2,1,53
83532.0,36,755,4,562,0,0,126
78931.0,19,331,2,170,0,0,54
38179.0,30,38,3,22,1,1,59
22585.0,23,3,1,15,0,0,55
88097.0,24,163,6,480,1,0,47
7500.0,96,1,2,5,1,0,39
31788.0,15,16,3,23,1,0,42
29760.0,87,64,3,68,1,0,40
61074.0,37,789,11,133,0,1,67
26868.0,52,0,1,1,1,0,34
46904.0,20,153,5,56,1,1,58
51195.0,46,230,9,156,1,1,63
66294.0,68,251,4,334,0,0,60
45684.0,37,5,1,5,1,0,54
26150.0,61,5,1,13,2,1,69
75865.0,73,483,3,591,0,0,82
29315.0,55,13,2,14,1,1,65
51569.0,39,380,7,47,0,1,76
31160.0,59,16,2,25,1,0,50
46923.0,90,85,5,54,1,0,38
62845.0,3,1099,3,45,1,1,76
90226.0,26,1083,4,649,0,0,69
44602.0,35,167,6,89,1,1,56
12571.0,86,3,3,14,1,0,49
68397.0,6,760,6,466,0,1,49
37395.0,47,18,1,9,1,0,49
48686.0,8,10,1,7,1,2,72
65210.0,25,626,9,70,0,1,70
84906.0,98,997,5,414,0,0,53
79205.0,73,504,6,117,0,0,50
59111.0,90,524,11,134,0,0,71
72066.0,55,1003,4,536,0,0,44
30372.0,33,15,2,12,1,1,54
59892.0,26,73,2,13,0,1,55
54693.0,72,686,6,142,0,1,63
77863.0,20,881,4,319,0,0,67
34026.0,11,18,2,15,1,1,75
18929.0,15,32,1,8,0,0,35
66835.0,21,620,6,195,0,0,79
33456.0,58,7,1,10,1,1,60
45889.0,42,31,1,6,0,1,45
44322.0,30,46,3,40,1,0,40
61286.0,34,356,7,107,0,1,59
30522.0,6,179,1,83,0,1,65
90000.0,91,675,4,133,0,0,41
55375.0,3,42,1,57,0,1,48
44051.0,20,79,3,58,1,1,52
61905.0,2,167,4,43,0,1,50
48240.0,73,389,6,248,0,0,56
45759.0,13,42,2,18,1,1,61
68316.0,54,806,10,161,0,1,61
22327.0,94,5,1,8,1,0,40
48178.0,69,159,5,45,1,1,50
77622.0,3,520,6,154,0,2,55
33178.0,9,12,1,2,1,0,48
23763.0,64,22,1,6,1,0,48
52531.0,68,283,7,151,0,0,54
64950.0,29,819,11,72,0,1,74
25176.0,79,4,1,4,1,1,49
9548.0,31,0,1,3,1,0,49
71367.0,24,227,4,389,0,0,66
71626.0,94,546,5,376,0,0,46
22010.0,51,11,2,9,1,0,42
36283.0,42,6,1,5,1,1,49
36301.0,53,11,3,35,1,0,49
43269.0,61,10,1,7,1,0,53
82571.0,28,861,6,558,0,0,63
57100.0,19,181,3,69,0,0,52
25252.0,26,1,1,4,1,0,39
82800.0,23,1006,7,115,0,0,79
46423.0,6,68,2,16,1,1,53
38452.0,62,56,3,14,1,1,70
32765.0,49,13,2,17,1,0,46
76532.0,38,355,9,177,1,1,50
,52,375,4,48,1,1,56
44989.0,26,98,5,106,0,1,51
49431.0,9,219,7,100,0,1,70
64014.0,56,406,8,30,2,1,79
69139.0,23,86,4,75,0,1,60
66582.0,83,789,2,420,0,0,56
85844.0,62,938,6,843,0,0,52
46854.0,81,96,5,79,1,1,52
34578.0,1,7,1,1,2,1,53
34380.0,68,72,4,58,1,0,48
44689.0,82,18,1,5,1,1,74
64590.0,98,920,9,168,0,0,57
70179.0,10,532,7,168,0,1,49
18169.0,40,9,1,5,1,0,40
67546.0,90,864,4,768,0,0,37
74268.0,83,199,4,315,0,0,70
42162.0,31,46,3,59,1,0,44
92163.0,25,817,5,797,0,0,50
69263.0,14,492,9,32,0,1,60
22280.0,85,2,1,4,1,0,50
85683.0,6,1296,2,311,0,0,71
77437.0,70,560,4,442,0,0,62
77037.0,3,463,7,333,0,1,65
19444.0,8,16,4,23,1,0,43
36130.0,46,157,3,127,0,1,71
47025.0,52,254,6,108,0,1,49
30772.0,89,7,1,4,1,1,49
,80,81,1,50,0,0,66
38808.0,21,125,5,52,1,0,53
33378.0,38,33,2,40,1,1,62
33249.0,11,6,2,21,1,0,50
34554.0,43,41,2,6,0,1,66
40344.0,48,210,4,6,0,1,51
30992.0,83,17,1,14,1,0,49
61559.0,8,279,4,88,0,1,60
52413.0,56,295,6,271,0,2,56
55158.0,72,293,7,87,1,1,55
78642.0,83,1396,4,322,0,1,54
,53,32,0,1607,0,0,47
34838.0,62,28,2,29,1,1,74
15862.0,26,1,1,4,1,0,46
50014.0,9,234,4,77,1,0,57
22775.0,40,5,1,8,1,0,47
60689.0,23,240,4,216,0,1,74
69627.0,35,231,8,215,0,1,63
81361.0,18,163,3,424,0,0,38
71128.0,80,958,2,447,1,0,52
61180.0,70,403,5,29,0,1,66
67786.0,0,431,3,441,0,0,66
33249.0,11,6,2,21,1,0,50
65031.0,29,258,10,291,0,1,66
27203.0,92,13,1,21,1,1,75
62807.0,83,526,5,135,0,1,65
38741.0,60,7,2,17,1,1,67
50116.0,68,54,1,10,1,1,68
37760.0,54,26,2,13,1,0,53
36781.0,16,29,2,17,1,0,46
65665.0,77,225,5,387,0,1,49
22304.0,91,3,1,7,0,0,69
32300.0,1,13,1,6,1,0,52
39190.0,91,68,2,18,1,0,51
7500.0,5,6,2,4,1,1,47
666666.0,23,9,3,18,1,0,48
55424.0,6,462,7,184,0,1,49
33955.0,92,100,5,128,1,0,50
56715.0,52,258,7,239,0,0,51
80360.0,56,1493,4,454,0,0,76
82460.0,78,255,5,573,0,0,75
22574.0,28,25,2,8,2,1,58
96876.0,79,908,7,735,0,0,48
48006.0,55,23,1,11,1,1,60
36663.0,40,18,1,6,1,0,50
90842.0,57,774,4,118,0,0,77
77382.0,36,491,5,231,0,1,57
79593.0,70,350,5,568,0,0,52
49090.0,45,494,7,82,0,1,74
42670.0,12,154,4,46,0,0,33
51369.0,84,297,8,79,0,1,49
38702.0,71,13,3,24,1,0,47
56850.0,83,34,1,19,0,1,54
34350.0,81,16,1,15,1,0,46
69389.0,17,422,7,238,0,1,48
57136.0,48,306,5,109,1,1,53
49638.0,71,18,1,3,0,1,73
72903.0,74,1067,7,750,0,0,40
31878.0,7,23,1,5,0,1,48
15315.0,27,7,2,13,0,0,55
35688.0,94,73,4,90,2,1,52
40479.0,95,5,0,8,1,0,43
81929.0,60,1486,4,278,1,0,49
83829.0,78,897,4,430,0,0,50
38361.0,74,39,3,56,1,0,56
42315.0,90,67,1,80,0,1,67
65685.0,54,642,9,49,0,1,53
41335.0,24,112,4,21,1,0,57
80336.0,12,209,2,456,0,0,55
28420.0,36,4,1,5,1,0,58
30390.0,5,10,2,12,0,0,38
61996.0,27,1050,6,144,0,1,48
79908.0,30,557,5,761,0,0,43
37509.0,24,37,3,56,1,0,49
71427.0,26,212,8,177,2,0,47
65526.0,22,397,4,69,0,1,61
51373.0,37,83,3,101,0,0,34
20491.0,16,5,0,5,0,0,39
18222.0,70,12,2,19,0,0,35
56939.0,19,256,3,103,0,1,49
33697.0,34,4,1,7,1,0,55
65704.0,18,279,2,74,0,0,53
78093.0,53,368,4,639,0,0,78
52332.0,63,212,3,33,0,0,66
35946.0,24,8,0,3,1,1,76
40521.0,82,12,0,5,1,1,57
75278.0,17,304,6,230,0,0,73
53187.0,66,211,4,30,1,0,55
74485.0,58,499,6,815,0,0,78
62000.0,25,899,6,101,0,1,73
42395.0,35,48,3,57,1,1,44
34487.0,94,19,3,33,1,1,48
26224.0,39,4,2,15,1,0,47
42014.0,56,244,7,108,1,0,48
30279.0,13,10,1,14,1,0,36
68805.0,73,182,3,49,0,1,66
78041.0,93,482,4,553,0,0,54
63211.0,3,145,3,459,0,0,43
16005.0,69,1,2,2,1,0,45
18929.0,15,32,1,8,0,0,35
33569.0,10,16,1,18,1,0,42
20559.0,88,13,2,29,1,0,40
66476.0,80,742,6,152,0,1,56
76068.0,67,1115,2,128,0,1,50
67419.0,29,846,9,352,0,1,55
67506.0,73,90,4,67,0,1,45
71691.0,0,336,4,411,0,0,67
35704.0,54,30,2,12,1,1,73
96843.0,60,448,6,951,0,0,35
81168.0,84,410,6,592,0,0,60
37401.0,14,19,2,19,1,0,52
52569.0,54,85,2,3,0,1,58
66835.0,21,620,6,195,0,0,79
70713.0,23,736,5,279,0,1,59
20427.0,63,5,1,4,1,0,52
58308.0,77,691,2,69,0,1,61
55434.0,21,238,5,215,1,0,41
77882.0,29,68,3,396,0,0,44
58512.0,25,895,3,101,0,1,61
58482.0,59,576,7,115,0,1,70
65073.0,65,629,5,177,0,0,82
17256.0,10,6,2,14,1,0,33
23661.0,46,18,1,4,1,0,43
21474.0,0,6,3,24,1,0,36
30630.0,67,27,2,12,1,1,60
59868.0,37,771,11,154,0,1,53
44794.0,99,54,2,7,0,1,59
73705.0,86,612,9,520,0,2,74
35797.0,16,27,2,14,0,1,50
74806.0,1,670,5,249,0,1,60
33039.0,4,30,2,12,1,0,47
36038.0,82,23,3,15,1,0,44
64813.0,81,293,7,124,1,0,47
,57,11,2,22,1,0,43
65488.0,46,603,3,207,0,0,67
77027.0,23,820,8,242,0,1,73
69245.0,8,428,6,214,0,1,69
69882.0,94,292,3,635,0,0,60
75903.0,50,340,6,185,0,1,74
37717.0,31,9,1,6,1,0,47
34176.0,9,11,1,7,0,1,50
53653.0,29,815,10,239,0,0,72
34704.0,65,29,1,5,0,1,59
63246.0,60,593,6,91,0,2,58
60554.0,8,588,8,76,1,0,50
29236.0,30,37,4,24,1,0,38
48877.0,27,102,3,15,0,1,59
58917.0,10,151,4,89,1,2,56
45072.0,74,144,6,99,1,2,77
19107.0,49,2,1,9,1,0,45
30983.0,50,51,4,50,0,0,62
40590.0,30,154,3,50,1,1,56
17144.0,96,18,3,19,1,1,65
38197.0,86,23,1,11,1,0,39
39552.0,54,165,6,147,1,1,63
30753.0,85,12,1,25,1,1,58
69930.0,21,252,4,827,0,0,54
35682.0,34,23,1,8,1,0,55
32871.0,28,22,1,12,1,1,74
83844.0,57,901,4,345,0,0,73
42691.0,48,179,5,64,0,0,34
62820.0,51,398,3,265,0,0,71
16653.0,10,5,2,31,1,0,46
92344.0,9,992,5,694,0,0,77
48918.0,21,52,1,9,1,1,62
89120.0,78,1168,5,408,0,0,66
26304.0,5,4,1,5,1,0,56
70617.0,45,353,3,753,0,0,55
27100.0,64,12,1,13,1,0,42
43050.0,10,30,2,24,1,0,52
95529.0,29,770,7,890,0,0,31
33581.0,38,11,1,5,2,0,56
53378.0,41,489,9,152,1,1,62
60934.0,41,224,6,155,0,1,50
81361.0,18,163,3,424,0,0,38
59354.0,59,295,4,78,0,2,72
66731.0,33,371,4,194,0,1,55
6835.0,76,107,0,12,0,1,68
29999.0,22,68,3,59,1,0,39
55635.0,34,235,7,164,0,1,54
27573.0,45,50,5,110,1,0,50
94384.0,62,1111,5,790,0,0,72
83844.0,57,901,4,345,0,0,73
58684.0,71,479,5,179,0,0,44
45921.0,23,102,2,49,0,0,39
53790.0,86,335,7,127,0,2,74
16248.0,77,12,2,10,1,0,37
157243.0,98,20,0,1582,0,1,52
39228.0,1,7,0,6,0,0,65
56796.0,24,656,8,161,0,1,56
67131.0,72,465,9,250,0,1,69
78952.0,11,1170,2,594,0,1,67
50870.0,13,53,2,8,0,1,73
72282.0,70,503,5,419,0,0,74
50898.0,88,285,6,242,1,1,69
80141.0,20,1184,7,673,0,0,39
50388.0,3,292,6,37,0,1,68
69016.0,61,726,8,363,0,1,55
18746.0,41,2,3,11,1,0,33
81217.0,77,493,3,324,0,0,36
41335.0,24,112,4,21,1,0,57
27255.0,3,22,1,11,1,0,41
18100.0,14,3,0,2,0,0,79
82122.0,89,734,3,350,0,0,63
31907.0,75,33,6,64,0,0,53
56575.0,42,421,7,90,0,2,58
53977.0,21,620,5,165,0,1,67
37292.0,32,275,6,86,1,0,42
36138.0,48,130,3,16,1,1,55
65487.0,48,240,3,500,0,0,68
74250.0,90,680,2,392,0,0,67
54959.0,55,1148,9,60,0,1,64
66373.0,57,328,4,124,1,1,47
76998.0,85,1449,11,161,0,1,70
27244.0,84,6,2,17,1,0,46
47958.0,8,268,6,88,0,1,73
86037.0,95,490,6,125,0,0,34
